step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest
-0.5466457783434561,1,-0.3064788351009669,-0.3346868444587886,-0.23774207774515826,-0.21017990157482033,-0.23403767250265006
0.6470145046185376,4,5.990440380298493,2.8894334203449032,-0.23774207774515826,-0.22292898651932994,-0.2600433311162927
-0.5868170378662155,4,-0.1303709150318464,-0.2242720095945662,-0.23774207774515826,-0.22292898651932994,-0.2600433311162927
-1.172169676626424,4,-0.3000705284581398,-0.3105995538185156,-0.23774207774515826,-0.22292898651932994,-0.2600433311162927
-0.6958533137137053,4,-0.13881671940211857,-0.22856845750956498,-0.23774207774515826,-0.22292898651932994,-0.2600433311162927
-0.5696007837850329,0,-0.2646511522977833,3.0562703834369924,3.623831841683017,-0.0943448983767065,-0.17543270586980825
0.3887706934007986,1,-0.2405155514944687,-0.33798533096685573,-0.23774207774515826,-0.0984673170143014,-0.11560534288577529
-1.401719731042192,4,-0.05200604935629282,-0.2079136601989439,-0.23774207774515826,0.947142643130441,0.8681849954230664
0.48632946652750003,3,-0.351100503044486,-0.25361475821408186,-0.1446238619029191,-0.22292898651932994,-0.2600433311162927
-0.5409070269830619,0,-0.314615962287009,8.592674704449538,9.810805384504919,-0.00010849531769545632,-0.07730563803143897
-0.7245470705156762,3,-0.3390723212159145,-0.33627403369099035,-0.23774207774515826,-0.22292898651932994,-0.2600433311162927
-0.8335833463631661,3,-0.3526241889424669,-0.32796880968733516,-0.22722811988366187,-0.22292898651932994,-0.2600433311162927
-1.4246747364837689,4,0.03139279194175122,-0.33798533096685573,-0.23774207774515826,0.0030024469724496635,0.05833100702925761
-1.120520914382876,1,-0.27999058186180253,-0.30038472514088427,-0.23774207774515826,-0.22292898651932994,-0.2369050955069692
0.400248196121587,3,-0.3456504981578653,-0.294291378583861,-0.19340247896230223,-0.22292898651932994,-0.2600433311162927
0.543716980131442,3,-0.3503412432773416,-0.2643072966711179,-0.15706158323056207,-0.22292898651932994,-0.2600433311162927
